site_id,street_name,district,street_type,x_coord,y_coord,distance_from_center,location_type,estimated_traffic_level,traffic_impact,district_encoded,street_type_encoded,location_type_encoded,construction_zone,predicted_impact
1700,Karl-Ziegler-Straße,Adlershof,Straße,399720.28921878,5810278.37104232,12414.223101443818,Suburbs,3,Low,0,3,3,0,Low
1701,Am Treptower Park,Alt-Treptow,Straße,395280.97508264,5816844.12053265,4552.4029594653275,Inner City,4,Medium,1,3,1,0,Medium
1702,Waldowallee,Karlshorst,Straße,400181.65489874,5816260.65632913,8995.674959165272,Outer City,3,Low,23,3,2,0,Low
1703,Schwartzstraße,Reinickendorf,Straße,390063.55835715,5825366.46386873,5705.15036528799,Outer City,3,Low,42,3,2,1,Low
1704,Stralauer Straße,Mitte,Straße,392127.74284384,5819646.63140368,375.74938325634196,City Center,6,High,33,3,0,1,High
1705,Säntisstraße,Marienfelde,Straße,389863.72141714,5808355.18329509,11839.148714098626,Suburbs,3,Low,31,3,3,0,Low
1706,Greifswalder Straße/Danziger,Prenzlauer Berg,Straße,393716.98868109,5821836.37725297,2514.0269581323987,Inner City,5,High,41,3,1,1,High
1707,AS Bucher Straße,Pankow-Zubringer,Straße,393617.47562685,5831562.36148365,11674.948842802407,Suburbs,3,Low,39,3,3,1,Low
1708,Turmstraße,Moabit,Straße,388093.60450619,5820863.50153447,4000.695021379634,Inner City,4,Medium,34,3,1,1,Medium
1709,	Buckower Damm,Buckow,Damm,393788.26156483,5808680.75945163,11459.628528714231,Suburbs,4,Medium,9,2,3,0,Medium
1710,Perleberger Straße,Moabit,Straße,387801.76961425,5821305.17083646,4396.431426075011,Inner City,4,Medium,34,3,1,1,Medium
1711,Thusnelda-Allee,Moabit,Allee,387333.6312902,5820830.07517335,4739.622530245706,Inner City,5,High,34,0,1,1,High
1712,Bucher Straße,Französisch-Buchholz,Straße,394670.45211363,5830594.45317864,10925.829609031794,Suburbs,3,Low,13,3,3,1,Low
1714,Gardeschützenweg,Lichterfelde,Straße,385398.3936855,5812320.52922432,10126.967824880472,Suburbs,3,Low,30,3,3,1,Low
1715,Invalidenstraße,Moabit,Straße,388983.11214805,5820653.9681671,3086.954271579648,Inner City,4,Medium,34,3,1,1,Medium
1716,	Ringstraße,Lichterfeld,Straße,383547.14211068,5810557.88637899,12672.975819795065,Suburbs,3,Low,29,3,3,1,Low
1717,	Buckower Chaussee,Marienfelde,Straße,389983.77698247,5807994.63461684,12173.493879720869,Suburbs,3,Low,31,3,3,0,Low
1718,	Roseggerstraße,Neukölln,Straße,394444.76900021,5815510.86453221,5111.676115772445,Outer City,3,Low,35,3,2,0,Low
1719,	Roelckestraße,Weißensee,Straße,394546.10436942,5823701.20347734,4492.388522896463,Inner City,4,Medium,55,3,1,1,Medium
1720,	Salzufer,Charlottenburg,Straße,386757.72718439,5819493.86878045,5266.649132483263,Outer City,4,Medium,10,3,2,1,Medium
1721,	Flughafenstraße,Neukölln,Straße,393582.55463955,5815774.40927427,4512.2163255475725,Inner City,4,Medium,35,3,1,0,Medium
1722,	Hennigsdorfer Straße/Heiligenseestraße,Heiligensee,Straße,379308.12284313,5830519.59515741,16484.708915867523,Suburbs,3,Low,21,3,3,1,Low
1723,Dänenstraße,Pankow,Straße,392373.27442285,5823368.63079519,3389.248770606424,Inner City,4,Medium,38,3,1,1,Medium
1724,A114,Pankow-Zubringer,Straße,393559.74277127,5827051.03766191,7221.490817151471,Outer City,3,Low,39,3,2,1,Low
1725,	Schnellerstraße,Niederschöneweide,Straße,398741.98722795,5812866.85728555,9815.096370721692,Outer City,3,Low,36,3,2,0,Low
1726,Großbeerenstraße,Kreuzberg,Straße,390354.59836973,5817611.02510008,2900.783962542117,Inner City,5,High,25,3,1,1,High
1727,	Niemetzstraße,Neukölln,Straße,394878.40930525,5814533.4807116,6178.031503561711,Outer City,3,Low,35,3,2,0,Low
1728,	Tegeler Straße,Wedding,Straße,388710.06406395,5822340.69568808,4037.6397520717287,Inner City,4,Medium,54,3,1,1,Medium
1729,Fürstendamm,Frohnau,Straße,384739.3670762,5832685.33190743,14616.238779379017,Suburbs,3,Low,16,3,3,1,Low
1730,	Alexandrinenstraße,Kreuzberg,Straße,391706.09099568,5818334.09136599,1691.6365093271854,City Center,6,High,25,3,0,1,High
1731,	Provinzstraße,Reinickendorf,Straße,389989.0286215,5824666.75369881,5081.593841552373,Outer City,3,Low,42,3,2,1,Low
1732,Ritterstraße,Kreuzberg,Straße,391919.69247193,5818083.7907498,1917.8913393660393,City Center,6,High,25,3,0,1,High
1733,Alt-Moabit,Moabit,Straße,388668.67576129,5820538.36706515,3374.5459369010264,Inner City,4,Medium,34,3,1,1,Medium
1734,	Obentrautstraße,Kreuzberg,Straße,390483.96227591,5817482.83569892,2938.449676188786,Inner City,5,High,25,3,1,1,High
1735,Eichbuschallee,Plänterwald,Straße,396746.05117812,5814645.48300428,7155.127814566616,Outer City,3,Low,40,3,2,0,Low
1736,Tegeler Straße,Wedding,Straße,388641.89101961,5822433.82890533,4147.33879308118,Inner City,4,Medium,54,3,1,1,Medium
1737,	Uferstraße,Gesundbrunnen,Straße,389902.00927697,5823786.49897362,4328.872780660827,Inner City,4,Medium,17,3,1,1,Medium
1738,Turmstraße,Moabit,Straße,387379.11126911,5820877.54677114,4703.477543138072,Inner City,4,Medium,34,3,1,1,Medium
1739,	Am Spreebord,Charlottenburg,Straße,385328.96958672,5820341.12823422,6679.74664542666,Outer City,4,Medium,10,3,2,1,Medium
1740,Turmstraße,Moabit,Straße,387934.50381013,5820860.01854909,4155.465217593185,Inner City,4,Medium,34,3,1,1,Medium
1741,	Mainzer Straße,Neukölln,Straße,393288.72838003,5815390.33384641,4786.422764972795,Inner City,4,Medium,35,3,1,0,Medium
1742,	Wiltbergstraße,Buch,Straße,398000.22522985,5832923.00507178,14248.04417785727,Suburbs,3,Low,8,3,3,1,Low
1743,Nalepastraße,Oberschöneweide,Straße,398621.21447763,5813756.05537678,9100.951907169496,Outer City,3,Low,37,3,2,0,Low
1744,Sellerstraße,Wedding,Straße,389472.27799647,5822343.45216937,3446.903914711621,Inner City,4,Medium,54,3,1,1,Medium
1745,	Wrangelstraße,Kreuzberg,Straße,393869.61264406,5817893.5147874,2816.510498778739,Inner City,5,High,25,3,1,0,High
1746,	Zinnowitzer Straße,Mitte,Straße,390305.56382786,5821388.30467416,2190.5487462620513,Inner City,5,High,33,3,1,1,High
1747,	Mariannenstraße,Kreuzberg,Straße,392927.3744858,5817783.70706596,2402.4940804061675,Inner City,5,High,25,3,1,0,High
1748,Radickestraße,Adlershof,Straße,401073.44681115,5810336.39134563,13255.669325219877,Suburbs,3,Low,0,3,3,0,Low
1749,Wallensteinstraße,Karlshorst,Straße,399258.75570752,5816214.43758818,8186.575425367772,Outer City,3,Low,23,3,2,0,Low
1750,Clayallee,Dahlem,Straße,382613.1424262,5812894.10974547,11773.137704971987,Suburbs,3,Low,11,3,3,1,Low
1751,Edisonstraße,Oberschöneweide,Straße,399042.47252206,5813830.60047677,9362.580290774746,Outer City,3,Low,37,3,2,0,Low
1752,Großbeerenstraße/Marienfelder Allee,Marienfelde,Allee,389453.78986459,5809641.82828823,10666.532110492828,Suburbs,4,Medium,31,0,3,0,Medium
1753,Goltzstraße - Bahnhofstraße,Schöneberg,Straße,391663.39562369,5805264.07709618,14739.766834433854,Suburbs,3,Low,47,3,3,0,Low
1754,Invalidenstraße,Moabit,Straße,388948.39706443,5820658.53881449,3121.8510288879875,Inner City,4,Medium,34,3,1,1,Medium
1755,Schönfließer Straße,Frohnau,Straße,384224.12947284,5833810.38022762,15848.998848084602,Suburbs,3,Low,16,3,3,1,Low
1756,Alt-Moabit,Moabit,Straße,387499.48003159,5820814.02102853,4573.54460139465,Inner City,4,Medium,34,3,1,1,Medium
1757,Baumschulenstraße,Baumschulenweg,Straße,397600.36462469,5814416.8315731,7907.961406874328,Outer City,3,Low,3,3,2,0,Low
1758,Gradestraße,Britz,Straße,393523.54934815,5812556.32863127,7597.989606593494,Outer City,3,Low,7,3,2,0,Low
1759,Köthener Straße,Kreuzberg,Straße,389702.08890668,5818260.16730768,2882.2583489462163,Inner City,5,High,25,3,1,1,High
1760,Semmelweisstraße,Altglienicke,Straße,400002.36361289,5809237.83244569,13411.266676192081,Suburbs,3,Low,2,3,3,0,Low
1761,A111,Hamburg-Zubringer,Straße,385215.82650109,5825596.50105372,8794.648037732895,Outer City,3,Low,20,3,2,1,Low
1762,	Hohenzollernring,Hakenfelde,Straße,378363.62140586,5824371.08746415,14319.819369739591,Suburbs,3,Low,18,3,3,1,Low
1763,	Hubertusstraße,Spandau,Straße,377515.24465107,5824893.06011089,15288.890566916314,Suburbs,3,Low,48,3,3,1,Low
1764,Friedrich-List-Ufer,Moabit,Straße,389463.79505971,5820591.23821924,2604.207774168811,Inner City,4,Medium,34,3,1,1,Medium
1765,Mehringdamm,Kreuzberg,Straße,390410.34379727,5816334.32870023,3995.5166024973755,Inner City,5,High,25,3,1,1,High
1766,Nordufer,Wedding,Straße,387609.59989056,5822358.2773621,4983.68189570353,Inner City,4,Medium,54,3,1,1,Medium
1767,An der Mole,Rummelsburg,Straße,396125.73303725,5817941.76232638,4610.641540584542,Inner City,4,Medium,45,3,1,0,Medium
1768,Baerwaldstraße,Kreuzberg,Straße,391586.14279056,5817172.13348285,2857.9899979920547,Inner City,5,High,25,3,1,1,High
1769,	Eisenacher Straße,Marzahn,Straße,404393.30712422,5821968.25068646,12548.628301132892,Suburbs,3,Low,32,3,3,0,Low
1770,Friedenstraße,Friedrichshain,Straße,394005.31696435,5820056.85828901,2006.1228757329482,Inner City,4,Medium,15,3,1,1,Medium
1771,	Detmolder Straße,Wilmersdorf,Straße,385926.43394863,5815631.37149904,7481.518533008705,Outer City,3,Low,58,3,2,1,Low
1772,Friedenstraße,Friedrichshain,Straße,394005.31696435,5820056.85828901,2006.1228757329482,Inner City,4,Medium,15,3,1,1,Medium
1773,Zinnowitzer Straße,Mitte,Straße,390411.27106993,5821426.7759206,2135.35691181697,Inner City,5,High,33,3,1,1,High
1774,Kronprinzessinnenweg,Wannsee,Straße,379679.58463884,5814144.75371782,13640.987636402588,Suburbs,3,Low,53,3,3,1,Low
1775,Marienfelder Allee,Marienfelde,Allee,388391.26826432,5807785.27328392,12736.659432073095,Suburbs,4,Medium,31,0,3,0,Medium
1776,Schönstraße,Weißensee,Straße,395332.78654671,5824045.2800023,5241.350633466248,Outer City,3,Low,55,3,2,1,Low
1777,Schönfließer Straße,Frohnau,Straße,384447.3955527,5833805.08389043,15736.015224928375,Suburbs,3,Low,16,3,3,1,Low
1778,Ruschestraße,Lichtenberg,Straße,397263.06615532,5820043.07247089,5263.242403027167,Outer City,3,Low,27,3,2,0,Low
1779,Perleberger Straße,Moabit,Straße,388120.25073564,5821545.36683649,4176.195997989725,Inner City,4,Medium,34,3,1,1,Medium
1780,	Landsberger Allee,Marzahn,Allee,400853.26780881,5822038.68207485,9084.96425402036,Outer City,4,Medium,32,0,2,0,Medium
1781,Skalitzer Straße,Kreuzberg,Straße,392480.12405434,5817675.43566789,2373.629802996524,Inner City,5,High,25,3,1,0,High
1782,	Neues Ufer,Moabit,Straße,385660.02997096,5821390.77942165,6490.723177644407,Outer City,3,Low,34,3,2,1,Low
1783,	Elsenbrücke,Alt-Treptow,Straße,395674.85335063,5817313.63757197,4552.042425479749,Inner City,4,Medium,1,3,1,0,Medium
1784,Jägerstr.,Mitte,Straße,390440.62943788,5819392.9769646,1673.3539719713165,City Center,6,High,33,3,0,1,High
1785,Mauerstraße,Mitte,Straße,390382.97213938,5819546.82740036,1679.3285881820568,City Center,6,High,33,3,0,1,High
1786,Mauerstraße,Mitte,Straße,390404.2777676,5819434.07232959,1693.104713569464,City Center,6,High,33,3,0,1,High
1787,Soldiner Str.,Gesundbrunnen,Straße,390285.02427042,5824559.95383412,4871.788246871548,Inner City,4,Medium,17,3,1,1,Medium
1788,Henningsdorfer Straße,Heiligensee,Straße,379669.16466292,5831457.74288866,16832.390567380015,Suburbs,3,Low,21,3,3,1,Low
1789,Karl-Marx-Straße,Neukölln,Straße,393738.78733079,5815676.21671143,4660.309357567812,Inner City,4,Medium,35,3,1,0,Medium
1790,Pankgrafenstraße,Karow,Straße,396329.22709544,5830495.62317762,11353.427373726334,Suburbs,3,Low,24,3,3,1,Low
1791,Neuköllnische Allee,Neukölln,Allee,395122.15541222,5814339.54668011,6464.409192239697,Outer City,4,Medium,35,0,2,0,Medium
1792,Cora-Berliner-Straße,Mitte,Straße,390060.84533643,5819462.02044893,2012.3972785250749,Inner City,5,High,33,3,1,1,High
1793,Prinzenstraße,Kreuzberg,Straße,392021.62314187,5818040.817066,1959.3022556874153,City Center,6,High,25,3,0,1,High
1794,Mönchmühler Straße/Hauptstraße,Rosenthal,Straße,390139.14777648,5829459.2588764,9640.557529963336,Outer City,3,Low,43,3,2,1,Low
1795,Mönchmühler Straße,Blankenfelde,Straße,390693.60341739,5830898.88965654,10976.906111308857,Suburbs,3,Low,5,3,3,1,Low
1796,Grüntaler Straße,Gesundbrunnen,Straße,390656.80709952,5823722.94349348,3957.8372153922564,Inner City,4,Medium,17,3,1,1,Medium
1797,Roelckestraße,Weißensee,Straße,394546.59613492,5823711.43011763,4501.096021242338,Inner City,4,Medium,55,3,1,1,Medium
1798,Märkische Allee (Marzahn),Marzahn,Allee,402232.37351025,5824487.88833379,11173.298946588446,Suburbs,4,Medium,32,0,3,0,Medium
1799,Britzer Damm (Britz),Britz,Damm,393615.19392147,5811888.26207308,8270.98202144009,Outer City,4,Medium,7,2,2,0,Low
1800,Kaiserdamm,Charlottenburg,Straße,384451.48635132,5819245.04087541,7586.173052607646,Outer City,4,Medium,10,3,2,1,Medium
1801,	Brückenstraße,Niederschöneweide,Brücke,398737.43163762,5812879.96975066,9802.439279236862,Outer City,6,High,36,1,2,0,Low
1802,Pyramidenring,Marzahn,Straße,400042.78088319,5821220.64386294,8134.881423545173,Outer City,3,Low,32,3,2,0,Low
1803,	Südwestkorso,Friedenau,Straße,386161.61077955,5815225.30095622,7542.184010493054,Outer City,3,Low,14,3,2,1,Low
1804,Wünsdorfer Straße,Lichtenrade,Straße,390792.35052587,5805283.33002431,14766.136679095538,Suburbs,3,Low,28,3,3,0,Low
1962,Blumberger Damm,Biesdorf,Damm,402448.22854302,5819060.22244132,10490.408073424807,Suburbs,4,Medium,4,2,3,0,Medium
1960,"Tunnel Schlangenbader Straße (Schmargendorf, ehem. A104)",Schmargendorf,Straße,384962.78365864,5814705.3294238,8806.585623587678,Outer City,3,Low,46,3,2,1,Low
1713,	A114 Bucher Straße,Bohnsdorf,Straße,401122.90806925,5806454.30530495,16331.359294666494,Suburbs,3,Low,6,3,3,0,Low
